,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,5b3f8ca3-1dee-438e-bc61-2d9019d5382d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Mau login selalu stuck di Verifikasi cepat, loading terus ga masuk2. Sudah coba lewat apps, lewat browser, pakai hp, pakai tab, pakai laptop tetap tidak bisa login. Service center gajelas hubungin kemana pulak.",1,2,4.1.1033.1,2025-02-09 15:29:38,,,4.1.1033.1
1,3e817104-84e5-4fd5-ba23-587e38fd1533,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tolong kenapa susah benget ya login saya penggunaan baru awalnya masih bisa login tetapi tiba-tiba terkeluar dan selalu stuck dia ""mari lakukan pemeriksaan keamanan cepat"" Sudah berbagai cara sampai coba pakai email yg lain tapi tetap tidak bisa bahkan saya sudah sampek melakukan verifikasi dengan ktp",1,426,4.1.1033.1,2025-02-10 14:02:26,,,4.1.1033.1
2,b9065ff7-35a1-425e-8bfc-69a34d25ddc2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Perbaiki lagi keamanan Linkedin buruk sekali, akun saya tiba tiba diambil alih oleh seseorang dan semua kontennya diganti tanpa ada notifikasi apapun namun masih bisa diakses. Setelah itu saya ganti password dan aktifkan verifikasi 2 langkah namun sekarang malah tidak bisa login sama sekali karena fitur ""Mari Lakukan Pemeriksaan Keamanan Cepat"" saat akan melakukan login loading terus, tolong segera diperbaiki",1,51,4.1.1038,2025-02-25 10:32:34,,,4.1.1038
3,4c49855a-564c-4ea4-9111-6f783d6a11ea,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ini akun saya udh berkali2 ke ban ditambah skrng setiap saya login tulisannya ""mari pemeriksaan cepat"" Maksudnya apa coba udh ditunggu berjam2 gabisa pas udh selesai malah halaman tidak tersedia, sistemnya dibenerin dong, bermasalah mulu dah",1,68,4.1.1036,2025-02-17 12:06:36,,,4.1.1036
4,26e00b60-c0c2-47c4-94b3-26b438442aba,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Apa yang terjadi dengan linkedln saya, sudah lama tidak saya gunakan dan ketika ingin digunakan lagi saya tidak bisa masuk/login yang ada hanya mode buffering terus menerus dan tulisan ""mari lakukan pemeriksaan dengan cepat"". Apa solusinya, bahkan saat saya mencoba utk login dr laptop, tidak bisa juga harus verifikasi dari hape dengan kejadian yang sama, namun setelah lebih lama ada status ""blocked by CSP""",1,545,4.1.1023,2025-01-13 02:34:29,,,4.1.1023
5,52cdcccc-5429-473d-8352-dc002a9bc6dd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sangat kecewa dengan LinkedIn. saya merasa tidak berlangganan premium sama sekali, tiba2 saldo di aplikasi dana saya di ambil dengan nominal yang cukup besar Rp. 1.116.078. saya sudah mencoba ajukan claim dana untuk di refund, tapi di tolak.",1,6,4.1.1039,2025-02-28 16:02:54,,,4.1.1039
6,9cc8198c-0ab1-4564-8599-f7fa74f0334b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"kenapa akun saya beberapa tiba tiba harus verifikasi captcha? mana nunggu nya sampe berjam jam tapi gabisa masuk gagal terus ngulang gitu terus, captcha nya ggda cuma muter muter di tulisan : mari lakukan pemeriksaan keamanan dengan cepat",1,38,4.1.1036,2025-02-18 07:44:06,,,4.1.1036
7,2cd72ab4-55c1-4d35-bfc8-f228738defd5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Ini gimana ceritanya gak bisa login, verifikasi captcha selalu gagal dan muter-muter ""Mari lakukan pemeriksaan keamanan cepat"". Gak di aplikasi atau di browser PC tetap aja sama.",1,15,4.1.1038,2025-02-26 03:57:30,,,4.1.1038
8,4f0ffcf4-a9b2-4638-859a-a2d463dc997d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Durasi yang diperlukan untuk login sangat sangat lama. Membuang banyak waktu dan kesabaran, padahal sedang dibutuhkan segera.",1,23,4.1.1038,2025-02-21 01:06:25,,,4.1.1038
9,ecc2528f-0e4c-4c23-bf5e-00779ab75805,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi paling ribet, gak jelas, gampangan ngari kerja di glints, lebih simpel, coba dong ubah seperti app glint",1,8,4.1.1038,2025-02-23 01:59:33,,,4.1.1038
